narration,amount,direction,channel,merchant,is_income
RTGS-Airtel-REF779315,3185.59,debit,rtgs,Airtel,0
RTGS-Paytm-REF438012,2503.45,debit,rtgs,Paytm,0
UPI-IRCTC-REF910085,2617.77,debit,upi,IRCTC,0
CARD-BSNL-REF494593,794.04,debit,card,BSNL,0
RTGS-Spotify-REF466446,289.9,debit,rtgs,Spotify,0
NACH-MakeMyTrip-REF725868,10304.73,debit,neft,MakeMyTrip,0
RTGS-SHELL-REF781312,1542.56,debit,rtgs,Shell,0
CARD-LIC-REF501867,8304.04,debit,card,LIC,0
RTGS-Jio-REF649792,3721.43,debit,imps,Jio,0
PAYMENT-RECEIVED-RTGS-BANK-REF384460,19962.19,credit,rtgs,,1
CARD-KFC-REF507199,1046.3,debit,card,KFC,0
TRANSFER-IN-PAYMENT-RECEIVED-UPI-JOHN DOE-2632073568@okhdfcbank,81567.26,credit,upi,,1
NEFT-Spotify-REF338845,893.66,debit,neft,Spotify,0
CARD-HDFC Life-REF893314,7461.79,debit,card,HDFC Life,0
IMPS-CRED-REF605972,16980.89,debit,imps,CRED,0
RTGS-OYO-REF259695,8034.44,debit,rtgs,OYO,0
CARD-Zepto-REF869430,1712.63,debit,card,Zepto,0
UPI-SPOTIFY-2088836418@ybl-801638,942.51,debit,card,Spotify,0
IMPS-CRED-REF708071,16579.44,debit,imps,CRED,0
NACH-Zepto-REF544024,811.41,debit,nach,Zepto,0
RECEIVED-IMPS-PERSON B-657236,5273.17,credit,imps,Prime Video,1
IMPS-Netflix-REF705630,843.89,debit,imps,Netflix,0
UPI-JOHN DOE-6541376725@okhdfcbank,33307.72,debit,upi,,0
UPI-Swiggy-REF247091,1478.16,debit,card,Swiggy,0
CARD-LIC-REF501867,8304.04,debit,card,LIC,0
CARD-22833859,28666.56,debit,card,Apollo,0
NEFT-ICICI Pru-REF636686,5444.49,debit,neft,ICICI Pru,0
RTGS-Upstox-REF767405,16980.41,debit,rtgs,Upstox,0
RTGS-ICICI Lombard-REF811539,4691.19,debit,rtgs,ICICI Lombard,0
IMPS-Razorpay-REF203481,6404.37,debit,imps,Razorpay,0
CASHBACK-UPI-LANDLORD-3216499065@ybl,80212.96,credit,neft,,1
UPI-LANDLORD-4941847827@okhdfcbank,30375.16,debit,upi,,0
UPI-KFC-REF849800,1406.91,debit,upi,KFC,0
CARD-PhonePe-REF732267,3582.41,debit,card,PhonePe,0
NACH-Upstox-REF385175,7487.64,debit,nach,Upstox,0
IMPS-PERSON A-707569,10985.01,debit,imps,,0
NEFT-IRCTC-REF441033,7437.78,debit,neft,IRCTC,0
UPI-ICICI PRU-1158233459@ybl-268687,14016.59,debit,imps,ICICI Pru,0
CARD-56937222,26426.69,debit,card,,0
UPI-YouTube Premium-REF932121,442.49,debit,upi,YouTube Premium,0
CARD-80990591,811.43,debit,card,Zepto,0
NACH-UberEats-REF642443,825.73,debit,nach,UberEats,0
TRANSFER-IN-UPI-JOHN DOE-0420762754@okhdfcbank,94426.59,credit,upi,,1
RTGS-IOC-REF360273,1709.65,debit,rtgs,IOC,0
UPI-MAKEMYTRIP-3385005620@ybl-428066,20783.37,debit,upi,MakeMyTrip,0
IMPS-PERSON A-691495,306.22,debit,card,UberEats,0
NEFT-Starbucks-REF610589,1856.22,debit,neft,Starbucks,0
