narration,amount,direction,channel,merchant,intent,category
CARD-68953184,22540.77,debit,card,,education,personal_care
IMPS-PERSON A-809371,1585.46,debit,imps,Zomato,fuel,food
NACH-YouTube Premium-REF133741,709.22,debit,nach,YouTube Premium,subscription,entertainment
RTGS-ICICI Lombard-REF841600,8767.22,debit,rtgs,ICICI Lombard,insurance,insurance
CARD-22714336,23719.66,debit,card,Skyscanner,travel,travel
UPI-AMEX-4316527077@ybl-836894,16038.35,debit,upi,AmEx,credit_card_payment,credit_card_payments
RTGS-Airtel-REF779315,3454.94,debit,rtgs,Airtel,utilities,utilities
RTGS-Spotify-REF592093,503.74,debit,rtgs,Spotify,subscription,entertainment
NEFT-Razorpay-REF102792,36778.11,debit,neft,Razorpay,credit_card_payment,credit_card_payments
INFOSYS-UPI-JANE SMITH-1044476904@okhdfcbank,109230.97,credit,upi,,salary,salary
NEFT-EMPLOYER-REF105767,37432.02,debit,card,,cash_withdrawal,transfers
UPI-GROWW-3222793706@ybl-601345,9835.17,debit,upi,Groww,investment,investments
IMPS-Coursera-REF129767,2337.52,debit,imps,Coursera,education,education
RTGS-YouTube Premium-REF544494,607.13,debit,rtgs,YouTube Premium,subscription,entertainment
CARD-38226127,36647.97,debit,card,,emi_payment,emi
RTGS-Netflix-REF374069,315.59,debit,rtgs,Netflix,subscription,entertainment
CARD-Uber-REF883502,5961.71,debit,card,Uber,travel,travel
NACH-Zerodha-REF810684,40356.28,debit,nach,Zerodha,investment,investments
IMPS-PERSON B-478212,632.84,debit,imps,UberEats,food,food
IMPS-Netflix-REF996545,854.35,debit,imps,Netflix,subscription,entertainment
CARD-13130419,45199.55,debit,card,,cash_withdrawal,transfers
UPI-JOHN DOE-7692727460@ybl,47458.17,debit,upi,,peer_transfer,transfers
RTGS-Airtel-REF164185,4133.65,debit,neft,Airtel,utilities,utilities
RTGS-Google Pay-REF483808,4778.37,debit,neft,Google Pay,shopping,shopping
NACH-CRED-REF977830,22522.41,debit,nach,CRED,credit_card_payment,credit_card_payments
UPI-Upstox-REF746108,10367.45,debit,upi,Upstox,investment,investments
NEFT-SKYSCANNER-REF174946,8781.16,debit,neft,Skyscanner,travel,travel
UPI-JOHN DOE-2007565470@okhdfcbank,29409.44,debit,upi,,loan_payment,loans
