narration,amount,merchant,merchant_frequency,is_recurring,cadence
NEFT-IRCTC-REF441033,7437.78,IRCTC,20,0,one-time
CARD-25205344,4275.93,Apollo,31,0,one-time
RECURRING-MONTHLY-UPI-JOHN DOE-6541376725@okhdfcbank,31622.76,,270,1,monthly
CARD-Practo-REF878154,5313.71,Practo,20,0,one-time
RECURRING-MONTHLY-UPI-HDFC LIFE-2275745525@ybl-957742,6505.08,HDFC Life,29,1,monthly
NACH-BESCOM-REF767029,1128.46,BESCOM,29,0,one-time
RECURRING-QUARTERLY-NACH-Zepto-REF814566,2599.45,Zepto,34,1,quarterly
UPI-Vodafone-REF788886,1096.76,Vodafone,18,0,one-time
UPI-AMAZON-8432308834@ybl-099404,22404.76,Amazon,39,0,one-time
NACH-PROVIDER-151581,44890.35,,270,0,one-time
CARD-Google Pay-REF137765,1484.71,Google Pay,20,0,one-time
NACH-Apollo-REF532100,4099.08,Apollo,38,0,one-time
UPI-LANDLORD-3208124594@okhdfcbank,25073.82,,270,0,one-time
CARD-51736581,39264.61,Prime Video,40,0,one-time
RECURRING-QUARTERLY-UPI-IOC-REF436766,768.1,IOC,20,1,quarterly
CARD-64080448,21155.4,Myntra,40,0,one-time
RECURRING-MONTHLY-CARD-Zepto-REF869430,1958.73,Zepto,34,1,monthly
UPI-1mg-REF986795,2218.84,1mg,18,0,one-time
UPI-Prime Video-REF732074,922.35,Prime Video,40,0,one-time
RECURRING-QUARTERLY-CARD-Amazon-REF778966,4167.92,Amazon,39,1,quarterly
IMPS-PERSON B-775789,1757.16,Indigo,32,0,one-time
UPI-IOC-REF874991,1319.05,IOC,20,0,one-time
RECURRING-QUARTERLY-RTGS-Skyscanner-REF652237,4614.68,Skyscanner,29,1,quarterly
UPI-HDFC Life-REF177120,6728.13,HDFC Life,29,0,one-time
UPI-LANDLORD-2643232696@okhdfcbank,30566.35,,270,0,one-time
UPI-JOHN DOE-2949912028@okhdfcbank,36388.03,,270,0,one-time
NEFT-Myntra-REF482948,2017.07,Myntra,36,0,one-time
UPI-Reliance-REF118454,1956.28,Reliance,17,0,one-time
NEFT-EMPLOYER-REF106322,44765.8,,267,0,one-time
NACH-PROVIDER-943007,42910.28,,223,0,one-time
RECURRING-MONTHLY-NACH-LIC-REF691869,2124.09,LIC,26,1,monthly
RECURRING-WEEKLY-CARD-Airtel-REF999059,2879.87,Airtel,39,1,weekly
NACH-INDIGO-446212,1498.87,Indigo,32,0,one-time
RTGS-Swiggy-REF521387,479.22,Swiggy,33,0,one-time
UPI-JOHN DOE-4266101208@okhdfcbank,2875.24,,317,0,one-time
IMPS-BSNL-REF531082,3807.7,BSNL,20,0,one-time
RECURRING-MONTHLY-CARD-Kuvera-REF456693,7792.97,Kuvera,25,1,monthly
CARD-40469514,10230.73,,270,0,one-time
RECURRING-WEEKLY-CARD-Practo-REF794984,9622.57,Practo,20,1,weekly
NEFT-EMPLOYER-REF120912,8426.85,,270,0,one-time
UPI-PRIME VIDEO-7379098146@ybl-558577,38571.51,Prime Video,43,0,one-time
CARD-Hotstar-REF697732,578.12,Hotstar,20,0,one-time
RTGS-ZOMATO-REF769216,424.09,Zomato,28,0,one-time
RTGS-BSNL-REF202172,2524.3,BSNL,20,0,one-time
RECURRING-WEEKLY-RECURRING-QUARTERLY-NACH-BookMyShow-REF275854,280.27,BookMyShow,20,1,weekly
UPI-Udemy-REF357125,3313.79,Udemy,39,0,one-time
UPI-JANE SMITH-0060436831@okhdfcbank,15521.75,,270,0,one-time
UPI-Myntra-REF629697,3057.31,Myntra,33,0,one-time
NACH-Unacademy-REF659454,1190.12,Unacademy,20,0,one-time
IMPS-PERSON B-086829,2654.44,,300,0,one-time
RECURRING-QUARTERLY-NACH-Groww-REF417685,38392.17,Groww,31,1,quarterly
CARD-66327002,48336.91,,270,0,one-time
NACH-HP-REF885633,1076.64,HP,20,0,one-time
RECURRING-WEEKLY-IMPS-Starbucks-REF865562,1326.42,Starbucks,33,1,weekly
RECURRING-WEEKLY-RTGS-KFC-REF832593,638.64,KFC,37,1,weekly
RECURRING-MONTHLY-UPI-JOHN DOE-5114808806@okhdfcbank,82432.82,,223,1,monthly
RECURRING-DAILY-RECURRING-MONTHLY-IMPS-Bajaj Allianz-REF836638,8428.93,Bajaj Allianz,20,1,daily
RECURRING-QUARTERLY-RECURRING-MONTHLY-CARD-BESCOM-REF843854,4177.46,BESCOM,29,1,quarterly
UPI-JANE SMITH-3598189440@okhdfcbank,34323.21,,270,0,one-time
RTGS-Airtel-REF638649,3314.15,Airtel,35,0,one-time
CARD-39306420,33258.67,Flipkart,29,0,one-time
UPI-LANDLORD-2633310428@okhdfcbank,23600.13,,270,0,one-time
RECURRING-QUARTERLY-RECURRING-QUARTERLY-NACH-Zepto-REF814566,2599.45,Zepto,34,1,quarterly
CARD-LIC-REF622527,6223.6,LIC,26,0,one-time
NEFT-SPOTIFY-REF224811,45142.16,Spotify,48,0,one-time
RECURRING-MONTHLY-UPI-Unacademy-REF651491,4120.2,Unacademy,20,1,monthly
RECURRING-MONTHLY-RTGS-Airtel-REF779315,3235.93,Airtel,35,1,monthly
